id	char
1016	打
1017	扔
1018	托
1019	扛
1020	扣
1021	执
1022	扩
1023	扫
1024	扬
1025	扭
1026	扮
1027	扯
1028	扰
1029	扳
1030	扶
1031	批
1032	找
1033	承
1034	技
1035	抄
1036	抉
1037	把
1038	抑
1039	抓
1040	投
1041	抖
1042	抗
1043	折
1044	抛
1045	抢
1046	护
1047	报
1048	披
1049	抬
1050	抱
1051	抵
1052	抹
1053	押
1054	抽
1055	担
1056	拆
1057	拉
1058	拍
1059	拎
1060	拐
1061	拒
1062	拓
1063	拔
1064	拖
1065	招
1066	拜
1067	拟
1068	拢
1069	拥
1070	拨
1071	择
1072	括
1073	拯
1074	拱
1075	拳
1076	拼
1077	拽
1078	拿
1079	持
1080	挂
1081	指
1082	按
1083	挑
1084	挖
1085	挚
1086	挞
1087	挡
1088	挣
1089	挤
1090	挥
1091	挨
1092	挫
1093	振
1094	挺
1095	挽
1096	捂
1097	捅
1098	捆
1099	捉
1100	捏
1101	捕
1102	捡
1103	换
1104	捣
1105	捧
1106	捨
1107	据
1108	掀
1109	掂
1110	授
1111	掉
1112	掌
1113	掏
1114	排
1115	掙
1116	掠
1117	探
1118	接
1119	控
1120	推
1121	掩
1122	掰
1123	掺
1124	揉
1125	揍
1126	描
1127	提
1128	插
1129	握
1130	揣
1131	揽
1132	搁
1133	搂
1134	搅
1135	搏
1136	搓
1137	搜
1138	搞
1139	搬
1140	搭
1141	携
1142	摄
1143	摆
1144	摇
1145	摊
1146	摔
1147	摘
1148	摧
1149	摸
1150	撑
1151	撒
1152	撕
1153	撞
1154	撤
1155	撩
1156	播
1157	撰
1158	撼
1159	擅
1160	擊
1161	操
1162	擎
1163	攀
1164	攒
1165	攥
1166	支
1167	收
1168	改
1169	攻
1170	放
1171	政
1172	故
1173	效
1174	敌
1175	敏
1176	救
1177	教
1178	敢
1179	散
1180	敬
1181	数
1182	敲
1183	整
1184	敷
1185	文
1186	斑
1187	斗
1188	料
1189	斟
1190	斥
1191	斧
1192	断
1193	斯
1194	新
1195	斷
1196	方
1197	於
1198	旁
1199	旅
1200	旋
1201	族
1202	旗
1203	无
1204	既
1205	日
1206	旦
1207	旧
1208	早
1209	旭
1210	时
1211	旷
1212	昂
1213	昇
1214	明
1215	昏
1216	易
1217	昔
1218	星
1219	映
1220	春
1221	昧
1222	昨
1223	昭
1224	是
1225	昼
1226	显
1227	晃
1228	晋
1229	晒
1230	晓
1231	晚
1232	晦
1233	晨
1234	普
1235	景
1236	晰
1237	晴
1238	智
1239	暂
1240	暑
1241	暖
1242	暗
1243	暮
1244	暴
1245	曲
1246	更
1247	曼
1248	曾
1249	替
1250	最
1251	會
1252	月
1253	有
1254	朋
1255	服
1256	望
1257	朝
1258	期
1259	木
1260	未
1261	末
1262	本
1263	术
1264	朱
1265	朵
1266	机
1267	杀
1268	杂
1269	权
1270	李
1271	材
1272	杜
1273	束
1274	杠
1275	条
1276	来
1277	杨
1278	杯
1279	杰
1280	松
1281	板
1282	极
1283	构
1284	枕
1285	林
1286	果
1287	枝
1288	枪
1289	枯
1290	架
1291	枷
1292	柏
1293	某
1294	染
1295	柔
1296	柜
1297	柠
1298	查
1299	柯
1300	柱
1301	栅
1302	标
1303	树
1304	校
1305	样
1306	核
1307	根
1308	格
1309	栽
1310	桀
1311	桃
1312	框
1313	案
1314	桌
1315	桑
1316	档
1317	桥
1318	桩
1319	桶
1320	梁
1321	梅
1322	梗
1323	梦
1324	梨
1325	梭
1326	梳
1327	检
1328	棒
1329	棚
1330	森
1331	棱
1332	椅
1333	楚
1334	楼
1335	楽
1336	概
1337	榄
1338	榜
1339	槟
1340	槽
1341	樂
1342	模
1343	樱
1344	橄
1345	橘
1346	橙
1347	橡
1348	橱
1349	檬
1350	欠
1351	次
1352	欢
1353	欣
1354	欧
1355	欲
1356	欺
1357	款
1358	歇
1359	歉
1360	歌
1361	止
1362	正
1363	此
1364	步
1365	武
1366	歪
1367	死
1368	殆
1369	殊
1370	残
1371	殴
1372	段
1373	殷
1374	毁
1375	毂
1376	毋
1377	母
1378	每
1379	毒
1380	比
1381	毕
1382	毙
1383	毛
1384	毫
1385	民
1386	气
1387	氛
1388	水
1389	永
1390	求
1391	汇
1392	汉
1393	汗
1394	江
1395	污
1396	汤
1397	汽
1398	沉
1399	沌
1400	沒
1401	沙
1402	沟
1403	没
1404	沦
1405	河
1406	治
1407	沼
1408	沾
1409	沿
1410	泄
1411	泊
1412	法
1413	泛
1414	泡
1415	波
1416	泣
1417	泥
1418	注
1419	泪
1420	泰
1421	泽
1422	泾
1423	洋
1424	洒
1425	洗
1426	洛
1427	洞
1428	津
1429	洨
1430	洪
1431	活
1432	派
1433	流
1434	浅
1435	浆
1436	浇
1437	测
1438	济
1439	浏
1440	浑
1441	浓
1442	浪
1443	浮
1444	浴
1445	海
1446	浸
1447	涂
1448	消
1449	涉
1450	润
1451	涨
1452	涩
1453	液
1454	涸
1455	淋
1456	淌
1457	淘
1458	淡
1459	淮
1460	深
1461	混
1462	淹
1463	添
1464	清
1465	渐
1466	渗
1467	減
1468	渠
1469	渡
1470	渣
1471	温
1472	港
1473	渴
1474	游
1475	渺
1476	湖
1477	湘
1478	湛
1479	湾
1480	湿
1481	源
1482	溜
1483	滋
1484	滑
1485	滚
1486	滞
1487	满
1488	滤
1489	滥
1490	滩
1491	滿
1492	漂
1493	漆
1494	漏
1495	演
1496	漠
1497	漫
1498	潇
1499	潍
1500	潘
1501	潜
1502	潮
1503	澈
1504	澡
1505	激
1506	灌
1507	火
1508	灭
1509	灯
1510	灰
1511	灵
1512	灼
1513	灾
1514	炉
1515	炒
1516	炙
1517	炫
1518	炮
1519	炸
1520	点
1521	為
1522	炽
1523	烁
1524	烂
1525	烈
1526	烊
1527	烟
1528	烤
1529	烦
1530	烧
1531	烫
1532	热
1533	焕
1534	焚
1535	焦
1536	焰
1537	然
1538	煌
1539	煞
1540	照
1541	煽
1542	熊
1543	熏
1544	熙
1545	熟
1546	熬
1547	燃
1548	燒
1549	燥
1550	爆
1551	爪
1552	爬
1553	爱
1554	爲
1555	爵
1556	父
1557	爷
1558	爸
1559	爽
1560	牆
1561	片
1562	版
1563	牌
1564	牙
1565	牛
1566	牢
1567	物
1568	牵
1569	特
1570	犬
1571	犯
1572	状
1573	犹
1574	狂
1575	狗
1576	狠
1577	狡
1578	独
1579	狮
1580	狱
1581	狼
1582	猎
1583	猜
1584	猪
1585	猫
1586	献
1587	獠
1588	獨
1589	獲
1590	獵
1591	率
1592	王
1593	玛
1594	玩
1595	玫
1596	玮
1597	环
1598	现
1599	玻
1600	珂
1601	珍
1602	珠
1603	班
1604	球
1605	理
1606	琐
1607	琪
1608	琴
1609	琼
1610	瑟
1611	瑰
1612	瑶
1613	璃
1614	瓜
1615	瓶
1616	甘
1617	甚
1618	甜
1619	生
1620	用
1621	甩
1622	田
1623	由
1624	甲
1625	申
1626	电
1627	男
1628	画
1629	畅
1630	界
1631	畏
1632	留
1633	略
1634	番
1635	疆
1636	疑
1637	疗
1638	疫
1639	疮
1640	疯
1641	疲
1642	疼
1643	疾
1644	病
1645	症
1646	痍
1647	痒
1648	痕
1649	痛
1650	痴
1651	瘦
1652	瘪
1653	瘫
1654	瘾
1655	癡
1656	癫
1657	登
1658	白
1659	百
1660	皂
1661	的
1662	皇
1663	皮
1664	益
1665	盐
1666	监
1667	盒
1668	盔
1669	盖
1670	盗
1671	盘
1672	盛
1673	盟
1674	目
1675	盯
1676	盲
1677	直
1678	相
1679	盼
1680	盾
1681	省
1682	看
1683	真
1684	眠
1685	眨
1686	眯
1687	眶
1688	眼
1689	眾
1690	着
1691	睁
1692	睇
1693	睐
1694	睛
1695	睡
1696	督
1697	睫
1698	睬
1699	睹
1700	瞎
1701	瞠
1702	瞥
1703	瞧
1704	瞬
1705	瞰
1706	瞳
1707	矛
1708	知
1709	矩
1710	矫
1711	短
1712	矮
1713	石
1714	码
1715	砌
1716	砍
1717	研
1718	砖
1719	砰
1720	破
1721	硬
1722	确
1723	碌
1724	碍
1725	碎
1726	碑
